FECHA,TEMPERATURA,CONSUMO
12/01/2017 0:00,27.9,409
12/01/2017 1:00,29,387
12/01/2017 2:00,29.1,378
12/01/2017 3:00,28.2,370
12/01/2017 4:00,26.7,364
12/01/2017 5:00,24.7,386
12/01/2017 6:00,23.6,401
12/01/2017 7:00,23.4,456
12/01/2017 8:00,21.4,518
12/01/2017 9:00,21.3,551
12/01/2017 10:00,20.5,569
12/01/2017 11:00,20.6,600
12/01/2017 12:00,20.3,585
12/01/2017 13:00,19.9,571
12/01/2017 14:00,20.1,587
12/01/2017 15:00,20.2,587
12/01/2017 16:00,20.2,574
12/01/2017 17:00,20.1,559
12/01/2017 18:00,20.3,571
12/01/2017 19:00,22.2,559
12/01/2017 20:00,22.6,535
12/01/2017 21:00,24.6,494
12/01/2017 22:00,26.7,448
12/01/2017 23:00,27.6,404
12/02/2017 0:00,27.9,373
12/02/2017 1:00,29.4,351
12/02/2017 2:00,28.2,340
12/02/2017 3:00,27.1,335
12/02/2017 4:00,25.5,338
12/02/2017 5:00,23.9,354
12/02/2017 6:00,23.2,369
12/02/2017 7:00,22.8,411
12/02/2017 8:00,23,456
12/02/2017 9:00,22.8,484
12/02/2017 10:00,22.5,518
12/02/2017 11:00,21.9,541
12/02/2017 12:00,21.2,527
12/02/2017 13:00,20.7,496
12/02/2017 14:00,20.4,506
12/02/2017 15:00,20.2,490
12/02/2017 16:00,19.9,475
12/02/2017 17:00,19.7,478
12/02/2017 18:00,20.2,539
12/02/2017 19:00,20.9,544
12/02/2017 20:00,23.1,522
12/02/2017 21:00,26.1,491
12/02/2017 22:00,27.3,446
12/02/2017 23:00,28.4,406
12/03/2017 0:00,28.5,368
12/03/2017 1:00,30.9,353
12/03/2017 2:00,30.3,332
12/03/2017 3:00,29.1,325
12/03/2017 4:00,27.3,320
12/03/2017 5:00,25.2,324
12/03/2017 6:00,23.9,306
12/03/2017 7:00,23.9,326
12/03/2017 8:00,23.5,348
12/03/2017 9:00,23.3,377
